Year,BuildingDemand_B_Max,BuildingDemand_B_Min,BuildingDemand_B_Mean,BuildingDemand_B_Variance,BuildingDemand_B_StdDev,SolarF02_B_Max,SolarF02_B_Min,SolarF02_B_Mean,SolarF02_B_Variance,SolarF02_B_StdDev,Net_Demand_Max,Net_Demand_Min,Net_Demand_Mean,Net_Demand_Variance,Net_Demand_StdDev
2018,7598,2004,3653.9643332683813,633371.3535446083,795.846312766861,0,0,0,0,0,7598,2004,3653.9643332683813,633371.3535446083,795.846312766861
2019,6576,1593,3563.001170091324,492039.7297837127,701.4554367767868,1584,0,359.7089548838148,196637.40334674856,443.43816180697456,6173,728,3203.2922152075093,551128.2368566673,742.3801161511988
2020,6973,1714,3284.520487059806,727672.3290310745,853.0371205469751,1582,0,366.5444343485677,184799.2119931093,429.8827886681546,6921,159,2917.9760527112385,885991.4834587367,941.2712061136984
2021,7995,1779,4045.641980593607,931030.114197866,964.8990176168002,1589,0,343.2417659880414,197209.79793132632,444.08309800230666,6896,1277.3875433,3702.400214605566,649903.8541084782,806.1661454740445
2022,2855,2584,2757.7166666666667,4891.867514124294,69.94188669262714,1,0,0.65,0.23135593220338982,0.4809947319913076,2854,2583,2757.0666666666666,4880.232768361582,69.85866280112712
